Driver,Team,LapNumber,micro_sector,Speed,Throttle,Brake,rpm,TyreLife,AirTemp,LapTimeSeconds,TimeSeconds
ZHO,Alfa Romeo,45,90,238.66666666666666,100.0,0.0,11005.666666666666,7.0,26.5,89.89,0.799
VER,Red Bull Racing,46,64,295.5,100.0,0.0,10492.5,2.0,26.5,87.902,0.599
SAI,Ferrari,46,29,163.5,99.0,0.0,11050.75,22.0,26.5,90.712,1.0390000000000001
ALB,Williams,45,91,245.0,87.0,0.0,11232.25,1.0,26.5,87.845,1.0390000000000001
SAR,Williams,45,83,113.33333333333333,50.666666666666664,0.0,8463.5,3.0,26.5,88.791,1.72
PIA,McLaren,46,42,311.0,99.0,0.0,10983.0,9.0,26.5,88.806,0.799
TSU,AlphaTauri,46,43,305.5,100.0,0.0,10799.0,23.0,26.5,89.41,0.599
PER,Red Bull Racing,46,49,115.5,0.0,100.0,9065.666666666666,3.0,26.5,87.914,1.72
LEC,Ferrari,46,54,213.33333333333334,99.0,0.0,11495.333333333334,10.0,26.5,88.44599999999998,0.799
BOT,Alfa Romeo,45,87,152.0,78.75,0.0,9904.75,15.0,26.5,90.495,1.0
GAS,Alpine,46,6,200.75,0.0,100.0,10917.25,13.0,26.5,89.428,1.0
STR,Aston Martin,46,16,266.0,99.0,0.0,11095.5,3.0,26.5,88.239,0.44
VER,Red Bull Racing,46,65,295.0,100.0,0.0,10481.0,2.0,26.5,87.902,0.44
TSU,AlphaTauri,46,44,306.0,100.0,0.0,10831.0,23.0,26.5,89.41,0.44
MAG,Haas F1 Team,45,85,138.8,49.0,0.0,8934.8,22.0,26.5,90.11,1.401
RIC,AlphaTauri,46,12,247.66666666666666,100.0,0.0,11214.333333333334,14.0,26.5,88.70800000000001,0.8
ALO,Aston Martin,46,30,201.0,99.33333333333333,0.0,11263.666666666666,10.0,26.5,88.55400000000002,0.921
OCO,Alpine,46,26,138.75,0.0,100.0,8856.0,30.0,26.5,90.113,1.201
ZHO,Alfa Romeo,45,91,248.5,88.0,0.0,11487.0,7.0,26.5,89.89,0.6
PIA,McLaren,46,43,313.0,99.0,0.0,11031.0,9.0,26.5,88.806,0.6
LEC,Ferrari,46,55,234.66666666666666,99.0,0.0,11141.0,10.0,26.5,88.44599999999998,0.921
HAM,Mercedes,46,29,175.66666666666666,100.0,0.0,10916.666666666666,10.0,26.5,89.729,0.9610000000000001
HUL,Haas F1 Team,45,97,121.5,38.25,0.0,7801.75,11.0,26.5,89.5,1.401
NOR,McLaren,46,50,71.4,13.6,20.0,6052.6,12.0,26.5,88.187,2.321
RUS,Mercedes,46,52,145.33333333333334,95.66666666666667,0.0,11068.333333333334,11.0,26.5,88.192,0.9610000000000001
SAI,Ferrari,46,30,205.66666666666666,99.0,0.0,11244.666666666666,22.0,26.5,90.712,0.9610000000000001
ALB,Williams,45,92,246.5,68.0,0.0,10329.0,1.0,26.5,87.845,0.681
VER,Red Bull Racing,46,66,295.0,100.0,0.0,10444.5,2.0,26.5,87.902,0.681
STR,Aston Martin,46,17,270.6666666666667,99.0,0.0,11253.333333333334,3.0,26.5,88.23899999999999,0.9610000000000001
TSU,AlphaTauri,46,45,306.5,100.0,0.0,10884.5,23.0,26.5,89.41,0.681
GAS,Alpine,46,7,156.33333333333334,16.666666666666668,0.0,9171.666666666666,13.0,26.5,89.428,1.041
RIC,AlphaTauri,46,13,255.0,100.0,0.0,11444.0,14.0,26.5,88.708,0.601
BOT,Alfa Romeo,45,88,189.33333333333334,100.0,0.0,11286.666666666666,15.0,26.5,90.495,1.041
PIA,McLaren,46,44,312.5,99.0,0.0,10987.5,9.0,26.5,88.806,0.601
ZHO,Alfa Romeo,45,92,244.0,55.333333333333336,0.0,11134.666666666666,7.0,26.5,89.89,1.041
SAR,Williams,45,84,140.0,34.0,0.0,8848.0,3.0,26.5,88.791,0.72
TSU,AlphaTauri,46,46,304.5,100.0,0.0,10769.0,23.0,26.5,89.41,0.72
ALB,Williams,45,93,248.5,91.5,0.0,10446.5,1.0,26.5,87.845,0.72
PER,Red Bull Racing,46,50,76.66666666666667,26.166666666666668,16.666666666666668,6826.0,3.0,26.5,87.914,2.3600000000000003
VER,Red Bull Racing,46,67,289.0,50.0,50.0,10103.5,2.0,26.5,87.902,0.72
ALO,Aston Martin,46,31,220.0,99.0,0.0,11245.0,10.0,26.5,88.554,0.72
LEC,Ferrari,46,56,251.5,99.0,0.0,11477.5,10.0,26.5,88.446,0.72
STR,Aston Martin,46,18,276.0,99.0,0.0,11461.0,3.0,26.5,88.239,0.44
MAG,Haas F1 Team,45,86,142.5,13.0,50.0,8787.5,22.0,26.5,90.11,1.36
HAM,Mercedes,46,30,202.0,100.0,0.0,10825.0,10.0,26.5,89.729,0.44
RIC,AlphaTauri,46,14,262.0,100.0,0.0,10506.0,14.0,26.5,88.708,0.44
RUS,Mercedes,46,53,176.0,100.0,0.0,11273.0,11.0,26.5,88.192,0.44
OCO,Alpine,46,27,97.0,27.833333333333332,16.666666666666668,6925.333333333333,30.0,26.5,90.113,2.4
PIA,McLaren,46,45,311.0,99.0,0.0,10926.0,9.0,26.5,88.806,0.44
SAI,Ferrari,46,31,229.0,99.0,0.0,10708.0,22.0,26.5,90.712,0.44
STR,Aston Martin,46,20,283.3333333333333,99.0,0.0,10449.333333333334,3.0,26.5,88.23899999999999,1.36
HAM,Mercedes,46,31,231.33333333333334,100.0,0.0,11213.666666666666,10.0,26.5,89.729,1.36
ALO,Aston Martin,46,33,254.0,99.33333333333333,0.0,10652.0,10.0,26.5,88.55400000000002,1.36
ALB,Williams,45,94,227.0,0.0,100.0,8933.0,1.0,26.5,87.845,0.92
VER,Red Bull Racing,46,68,218.0,0.0,100.0,9869.0,2.0,26.5,87.902,0.92
RIC,AlphaTauri,46,15,262.5,94.0,0.0,10496.0,14.0,26.5,88.708,1.1600000000000001
GAS,Alpine,46,8,170.0,99.0,0.0,10536.666666666666,13.0,26.5,89.428,1.36
RUS,Mercedes,46,54,221.75,100.0,0.0,10968.75,11.0,26.5,88.192,1.6400000000000001
PIA,McLaren,46,47,304.6666666666667,32.333333333333336,0.0,10768.666666666666,9.0,26.5,88.806,1.36
SAR,Williams,45,85,149.75,60.0,0.0,9537.75,3.0,26.5,88.791,1.6400000000000001
ZHO,Alfa Romeo,45,94,246.0,78.33333333333333,33.333333333333336,11226.333333333334,7.0,26.5,89.89,1.36
TSU,AlphaTauri,46,48,195.2,0.0,100.0,11464.4,23.0,26.5,89.41,1.96
HUL,Haas F1 Team,45,98,175.0,99.33333333333333,0.0,11491.333333333334,11.0,26.5,89.5,1.36
SAI,Ferrari,46,32,254.0,99.0,0.0,11380.5,22.0,26.5,90.712,1.1600000000000001
LEC,Ferrari,46,58,269.6666666666667,99.0,0.0,10883.0,10.0,26.5,88.44599999999998,1.36
BOT,Alfa Romeo,45,89,227.0,100.0,0.0,10547.0,15.0,26.5,90.495,0.92
NOR,McLaren,46,51,99.83333333333333,31.0,0.0,7452.166666666667,12.0,26.5,88.187,1.8
VER,Red Bull Racing,46,69,190.25,0.0,75.0,9415.75,2.0,26.5,87.902,1.04
ALB,Williams,45,95,174.5,0.0,100.0,9805.75,1.0,26.5,87.845,1.04
BOT,Alfa Romeo,45,90,237.33333333333334,100.0,0.0,10900.666666666666,15.0,26.5,90.495,0.72
MAG,Haas F1 Team,45,87,144.25,64.0,0.0,9508.5,22.0,26.5,90.11,1.04
RIC,AlphaTauri,46,16,263.5,100.0,0.0,10559.5,14.0,26.5,88.708,0.48000000000000004
SAI,Ferrari,46,33,266.0,99.0,0.0,10733.666666666666,22.0,26.5,90.712,0.8
ALO,Aston Martin,46,34,266.5,99.0,0.0,11129.5,10.0,26.5,88.554,0.6000000000000001
HAM,Mercedes,46,32,249.5,100.0,0.0,11203.0,10.0,26.5,89.729,0.6000000000000001
STR,Aston Martin,46,21,287.0,99.0,0.0,10575.0,3.0,26.5,88.239,0.6000000000000001
LEC,Ferrari,46,59,278.0,99.0,0.0,11144.5,10.0,26.5,88.446,0.6000000000000001
HUL,Haas F1 Team,45,99,205.66666666666666,100.0,0.0,11090.666666666666,11.0,26.5,89.5,0.96
PIA,McLaren,46,48,244.33333333333334,0.0,100.0,8951.0,9.0,26.5,88.806,0.96
ZHO,Alfa Romeo,45,95,184.66666666666666,0.0,100.0,9514.666666666666,7.0,26.5,89.89,0.96
GAS,Alpine,46,9,200.66666666666666,100.0,0.0,10542.0,13.0,26.5,89.428,0.96
PER,Red Bull Racing,46,51,98.14285714285714,34.0,0.0,7386.0,3.0,26.5,87.914,1.96
